Cow_ID,Milk_pH,Milk_Temperature,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Day,class1,data_source
COW-121,6.74,38.49,5.48,163852,20.6,268,0,Kaggle Cow Mastitis (From milk)
COW-139,7.39,40.06,8.91,446864,10.2,170,1,Kaggle Cow Mastitis (From milk)
COW-109,6.51,38.09,5.2,142465,25.7,55,0,Kaggle Cow Mastitis (From milk)
COW-131,7.22,39.53,8.02,843875,8.5,285,1,Kaggle Cow Mastitis (From milk)
COW-108,7.46,39.17,6.4,644417,13.5,39,1,Kaggle Cow Mastitis (From milk)
COW-101,6.53,38.45,5.06,84858,24.8,25,0,Kaggle Cow Mastitis (From milk)
COW-136,6.65,38.14,4.86,98664,21.7,295,0,Kaggle Cow Mastitis (From milk)
COW-128,6.68,38.17,5.44,123503,22.1,247,0,Kaggle Cow Mastitis (From milk)
COW-148,6.59,38.32,5.09,90066,22.1,127,0,Kaggle Cow Mastitis (From milk)
COW-135,7.18,39.88,7.59,1398576,10.2,108,1,Kaggle Cow Mastitis (From milk)
COW-128,7.27,39.81,7.38,318203,16.5,246,1,Kaggle Cow Mastitis (From milk)
COW-134,7.06,39.58,8.35,458118,10.3,288,1,Kaggle Cow Mastitis (From milk)
COW-141,7.33,39.82,7.33,284860,14.2,188,1,Kaggle Cow Mastitis (From milk)
COW-113,7.3,39.58,7.72,322621,9.7,4,1,Kaggle Cow Mastitis (From milk)
COW-133,7.32,39.98,6.4,878073,11.2,201,1,Kaggle Cow Mastitis (From milk)
COW-111,6.65,38.15,5.01,51656,26.0,198,0,Kaggle Cow Mastitis (From milk)
COW-135,6.39,38.5,4.76,83158,21.9,207,0,Kaggle Cow Mastitis (From milk)
COW-122,7.01,40.3,6.65,1067257,13.3,215,1,Kaggle Cow Mastitis (From milk)
COW-124,6.57,38.19,5.36,181383,25.9,261,0,Kaggle Cow Mastitis (From milk)
COW-138,6.73,38.75,4.87,107654,23.6,182,0,Kaggle Cow Mastitis (From milk)
COW-146,6.58,38.52,4.74,156798,26.6,49,0,Kaggle Cow Mastitis (From milk)
COW-132,7.25,40.39,8.3,746074,12.5,261,1,Kaggle Cow Mastitis (From milk)
COW-122,6.65,38.26,5.71,152160,19.7,257,0,Kaggle Cow Mastitis (From milk)
COW-144,6.72,38.48,5.26,83410,17.5,225,0,Kaggle Cow Mastitis (From milk)
COW-122,6.65,38.52,4.44,98077,19.8,70,0,Kaggle Cow Mastitis (From milk)
COW-103,7.27,39.96,8.35,433176,10.4,146,1,Kaggle Cow Mastitis (From milk)
COW-101,7.25,40.23,6.4,501727,13.3,59,1,Kaggle Cow Mastitis (From milk)
COW-127,7.32,39.59,8.17,230723,15.3,243,1,Kaggle Cow Mastitis (From milk)
COW-125,6.5,38.08,4.78,59911,26.6,69,0,Kaggle Cow Mastitis (From milk)
COW-104,6.68,38.22,5.66,153592,14.0,1,0,Kaggle Cow Mastitis (From milk)
COW-128,7.07,39.35,8.47,585436,12.7,78,1,Kaggle Cow Mastitis (From milk)
COW-126,6.69,38.74,4.81,51137,25.6,285,0,Kaggle Cow Mastitis (From milk)
COW-141,6.88,39.46,6.65,1135535,15.4,79,1,Kaggle Cow Mastitis (From milk)
COW-128,6.57,38.8,5.12,148024,29.9,152,0,Kaggle Cow Mastitis (From milk)
COW-145,6.79,38.09,5.23,192271,22.2,12,0,Kaggle Cow Mastitis (From milk)
COW-129,7.65,39.81,8.96,1140457,9.2,25,1,Kaggle Cow Mastitis (From milk)
COW-108,6.62,38.39,4.6,125764,21.2,173,0,Kaggle Cow Mastitis (From milk)
COW-105,7.39,39.96,7.26,760869,12.5,271,1,Kaggle Cow Mastitis (From milk)
COW-116,6.5,38.78,5.91,163292,25.6,75,0,Kaggle Cow Mastitis (From milk)
COW-142,6.41,38.13,5.4,70416,23.0,229,0,Kaggle Cow Mastitis (From milk)
COW-124,6.43,38.22,5.36,50214,18.2,20,0,Kaggle Cow Mastitis (From milk)
COW-124,6.49,38.63,5.66,65356,18.6,150,0,Kaggle Cow Mastitis (From milk)
COW-122,7.38,40.16,8.58,684631,8.6,17,1,Kaggle Cow Mastitis (From milk)
COW-125,7.05,39.17,7.03,697863,14.0,152,1,Kaggle Cow Mastitis (From milk)
COW-129,6.99,40.65,7.12,771910,11.2,25,1,Kaggle Cow Mastitis (From milk)
COW-125,6.88,40.15,6.88,437173,14.8,7,1,Kaggle Cow Mastitis (From milk)
COW-114,6.52,38.51,5.78,101994,21.9,126,0,Kaggle Cow Mastitis (From milk)
COW-144,6.74,38.68,4.93,173799,20.8,155,0,Kaggle Cow Mastitis (From milk)
COW-131,6.6,38.58,4.75,194249,30.9,51,0,Kaggle Cow Mastitis (From milk)
COW-131,7.39,39.79,7.94,1375258,9.4,267,1,Kaggle Cow Mastitis (From milk)
COW-149,7.44,40.09,7.63,1314740,10.7,7,1,Kaggle Cow Mastitis (From milk)
COW-134,7.14,40.02,8.58,345332,7.6,134,1,Kaggle Cow Mastitis (From milk)
COW-116,6.69,38.33,4.73,123195,20.9,157,0,Kaggle Cow Mastitis (From milk)
COW-106,6.62,38.39,5.52,89309,14.3,161,0,Kaggle Cow Mastitis (From milk)
COW-145,6.52,38.31,4.87,119151,18.0,214,0,Kaggle Cow Mastitis (From milk)
COW-147,7.28,39.52,8.31,421146,6.1,61,1,Kaggle Cow Mastitis (From milk)
COW-120,7.28,39.17,8.01,1344902,13.7,237,1,Kaggle Cow Mastitis (From milk)
COW-148,6.84,38.64,4.59,107500,20.5,86,0,Kaggle Cow Mastitis (From milk)
COW-102,6.73,38.26,5.16,112988,26.2,114,0,Kaggle Cow Mastitis (From milk)
COW-139,7.26,39.77,6.92,419611,13.0,65,1,Kaggle Cow Mastitis (From milk)
COW-112,7.17,39.69,8.95,615156,10.2,108,1,Kaggle Cow Mastitis (From milk)
COW-145,7.06,39.73,6.76,295632,9.1,284,1,Kaggle Cow Mastitis (From milk)
COW-128,7.15,39.9,9.25,746665,11.6,17,1,Kaggle Cow Mastitis (From milk)
COW-107,6.55,38.8,5.08,126801,23.3,34,0,Kaggle Cow Mastitis (From milk)
COW-109,6.94,40.32,6.4,1124170,14.6,46,1,Kaggle Cow Mastitis (From milk)
COW-104,6.59,38.4,5.1,160023,18.8,236,0,Kaggle Cow Mastitis (From milk)
COW-142,7.05,40.28,7.91,947614,9.3,85,1,Kaggle Cow Mastitis (From milk)
COW-101,6.77,38.42,5.31,154158,16.1,239,0,Kaggle Cow Mastitis (From milk)
COW-112,6.65,38.67,5.28,67183,17.4,7,0,Kaggle Cow Mastitis (From milk)
COW-114,6.79,38.19,5.03,187957,21.1,122,0,Kaggle Cow Mastitis (From milk)
COW-141,6.56,38.77,5.27,157575,20.6,90,0,Kaggle Cow Mastitis (From milk)
COW-104,6.63,38.5,5.3,144033,22.5,17,0,Kaggle Cow Mastitis (From milk)
COW-125,7.38,39.14,7.43,890557,12.6,278,1,Kaggle Cow Mastitis (From milk)
COW-139,6.45,38.1,5.32,97168,22.3,139,0,Kaggle Cow Mastitis (From milk)
COW-149,6.47,38.29,5.89,186987,18.3,156,0,Kaggle Cow Mastitis (From milk)
COW-132,7.44,40.04,8.14,1117272,8.0,165,1,Kaggle Cow Mastitis (From milk)
COW-132,7.02,39.31,7.83,1293718,7.3,164,1,Kaggle Cow Mastitis (From milk)
COW-121,6.58,38.26,5.05,60597,27.7,133,0,Kaggle Cow Mastitis (From milk)
COW-111,6.57,38.01,5.24,163155,22.9,173,0,Kaggle Cow Mastitis (From milk)
COW-114,7.01,40.18,7.33,862865,11.6,168,1,Kaggle Cow Mastitis (From milk)
COW-135,6.76,38.66,5.59,141983,17.5,127,0,Kaggle Cow Mastitis (From milk)
COW-124,7.17,40.63,7.86,780628,9.1,98,1,Kaggle Cow Mastitis (From milk)
COW-111,7.36,39.91,6.64,434481,8.8,175,1,Kaggle Cow Mastitis (From milk)
COW-102,6.41,38.43,5.14,153330,24.1,259,0,Kaggle Cow Mastitis (From milk)
COW-124,6.57,38.01,5.24,123789,19.6,229,0,Kaggle Cow Mastitis (From milk)
COW-141,6.73,38.43,4.54,147364,22.7,104,0,Kaggle Cow Mastitis (From milk)
COW-122,6.47,38.22,4.62,63431,26.0,257,0,Kaggle Cow Mastitis (From milk)
COW-109,6.58,38.54,5.78,119729,17.3,14,0,Kaggle Cow Mastitis (From milk)
COW-149,7.09,40.29,8.5,951877,10.4,147,1,Kaggle Cow Mastitis (From milk)
COW-103,6.77,38.54,5.66,168433,18.2,161,0,Kaggle Cow Mastitis (From milk)
COW-119,6.51,38.46,5.69,155423,22.7,179,0,Kaggle Cow Mastitis (From milk)
COW-149,7.3,40.15,7.51,904199,16.5,273,1,Kaggle Cow Mastitis (From milk)
COW-149,6.8,38.12,5.07,82680,15.7,255,0,Kaggle Cow Mastitis (From milk)
COW-128,6.59,38.23,4.3,152036,17.6,134,0,Kaggle Cow Mastitis (From milk)
COW-102,7.09,40.28,7.38,984991,9.9,107,1,Kaggle Cow Mastitis (From milk)
COW-108,6.99,39.9,8.98,384551,12.9,5,1,Kaggle Cow Mastitis (From milk)
COW-124,6.48,38.27,5.63,147733,22.0,47,0,Kaggle Cow Mastitis (From milk)
COW-114,6.63,38.48,4.71,87634,22.2,170,0,Kaggle Cow Mastitis (From milk)
COW-120,6.91,39.7,8.6,637098,12.5,29,1,Kaggle Cow Mastitis (From milk)
COW-140,6.53,38.36,4.84,140087,21.3,292,0,Kaggle Cow Mastitis (From milk)
COW-137,7.44,39.52,7.35,815472,10.5,193,1,Kaggle Cow Mastitis (From milk)
COW-146,7.26,40.67,7.87,485690,16.3,74,1,Kaggle Cow Mastitis (From milk)
COW-135,6.34,38.4,4.85,186945,16.5,218,0,Kaggle Cow Mastitis (From milk)
COW-110,6.88,39.33,7.97,729532,12.0,11,1,Kaggle Cow Mastitis (From milk)
COW-113,7.26,40.23,7.15,314064,9.6,255,1,Kaggle Cow Mastitis (From milk)
COW-149,6.48,38.66,5.13,76334,23.5,178,0,Kaggle Cow Mastitis (From milk)
COW-135,7.45,39.62,6.4,460714,7.4,227,1,Kaggle Cow Mastitis (From milk)
COW-126,7.26,39.48,8.76,478151,12.6,42,1,Kaggle Cow Mastitis (From milk)
COW-128,6.5,38.58,4.19,135642,22.6,130,0,Kaggle Cow Mastitis (From milk)
COW-119,6.45,37.98,5.26,53421,17.6,78,0,Kaggle Cow Mastitis (From milk)
COW-109,7.14,40.54,8.21,1123073,10.3,14,1,Kaggle Cow Mastitis (From milk)
COW-124,6.71,38.53,5.06,73591,22.0,61,0,Kaggle Cow Mastitis (From milk)
COW-107,6.6,38.67,5.27,59788,19.8,287,0,Kaggle Cow Mastitis (From milk)
COW-142,7.41,40.12,9.03,484772,9.3,72,1,Kaggle Cow Mastitis (From milk)
COW-112,7.45,40.29,7.57,824886,12.5,201,1,Kaggle Cow Mastitis (From milk)
COW-118,7.19,39.3,7.8,1131139,12.0,293,1,Kaggle Cow Mastitis (From milk)
COW-115,6.43,38.39,5.1,50196,21.5,165,0,Kaggle Cow Mastitis (From milk)
COW-128,7.02,40.61,10.53,1137719,14.5,23,1,Kaggle Cow Mastitis (From milk)
COW-149,7.03,39.13,9.69,586078,12.2,192,1,Kaggle Cow Mastitis (From milk)
COW-104,7.03,39.14,8.55,1239952,11.8,232,1,Kaggle Cow Mastitis (From milk)
COW-137,7.04,39.71,6.64,1351469,13.6,223,1,Kaggle Cow Mastitis (From milk)
COW-138,6.92,39.3,6.48,973976,14.7,75,1,Kaggle Cow Mastitis (From milk)
COW-128,7.38,40.31,9.48,291869,12.0,206,1,Kaggle Cow Mastitis (From milk)
COW-110,7.18,38.9,9.59,716469,13.3,296,1,Kaggle Cow Mastitis (From milk)
COW-145,7.29,39.95,6.58,685486,14.1,20,1,Kaggle Cow Mastitis (From milk)
COW-101,6.59,38.19,4.79,171655,19.3,39,0,Kaggle Cow Mastitis (From milk)
COW-114,7.15,39.22,7.68,410508,15.1,141,1,Kaggle Cow Mastitis (From milk)
COW-133,6.47,38.22,5.09,190748,15.1,296,0,Kaggle Cow Mastitis (From milk)
COW-134,6.6,38.45,5.15,145230,17.8,117,0,Kaggle Cow Mastitis (From milk)
COW-126,6.55,38.35,5.45,154900,28.3,222,0,Kaggle Cow Mastitis (From milk)
COW-115,6.52,38.42,4.83,192266,19.4,5,0,Kaggle Cow Mastitis (From milk)
COW-126,6.7,38.0,4.79,175682,20.4,146,0,Kaggle Cow Mastitis (From milk)
COW-148,6.45,38.42,4.95,136861,20.4,294,0,Kaggle Cow Mastitis (From milk)
COW-140,6.59,38.48,6.2,77338,24.9,158,0,Kaggle Cow Mastitis (From milk)
COW-144,6.88,39.05,8.36,460171,9.9,197,1,Kaggle Cow Mastitis (From milk)
COW-129,6.49,38.6,5.15,112751,20.0,254,0,Kaggle Cow Mastitis (From milk)
COW-121,7.15,39.04,7.14,1092706,14.9,114,1,Kaggle Cow Mastitis (From milk)
COW-101,6.64,38.2,5.05,101783,24.0,39,0,Kaggle Cow Mastitis (From milk)
COW-103,6.56,38.24,5.06,171771,26.5,32,0,Kaggle Cow Mastitis (From milk)
COW-149,6.32,38.3,5.72,180781,23.6,261,0,Kaggle Cow Mastitis (From milk)
COW-137,7.41,39.77,7.05,1361023,13.0,241,1,Kaggle Cow Mastitis (From milk)
COW-144,6.5,38.38,5.45,85075,21.7,262,0,Kaggle Cow Mastitis (From milk)
COW-128,7.4,40.71,9.01,534818,15.7,249,1,Kaggle Cow Mastitis (From milk)
COW-105,6.95,39.83,7.53,750934,10.1,29,1,Kaggle Cow Mastitis (From milk)
COW-118,7.25,39.86,6.85,616263,14.2,270,1,Kaggle Cow Mastitis (From milk)
COW-106,7.08,39.94,8.32,1360746,15.7,178,1,Kaggle Cow Mastitis (From milk)
COW-127,7.21,39.21,7.43,787061,14.8,289,1,Kaggle Cow Mastitis (From milk)
COW-133,6.55,38.23,6.2,94109,26.8,275,0,Kaggle Cow Mastitis (From milk)
COW-135,7.24,39.81,7.65,476754,9.8,40,1,Kaggle Cow Mastitis (From milk)
COW-128,7.49,39.19,8.5,592447,9.6,137,1,Kaggle Cow Mastitis (From milk)
COW-117,6.51,38.65,5.63,167010,16.7,43,0,Kaggle Cow Mastitis (From milk)
COW-124,7.44,39.48,7.51,730751,11.5,266,1,Kaggle Cow Mastitis (From milk)
COW-139,7.55,39.17,8.86,808033,14.4,142,1,Kaggle Cow Mastitis (From milk)
COW-149,7.06,40.36,7.91,486432,14.8,151,1,Kaggle Cow Mastitis (From milk)
COW-122,7.16,39.39,7.46,593419,10.2,15,1,Kaggle Cow Mastitis (From milk)
COW-139,7.13,39.6,9.96,722097,8.8,234,1,Kaggle Cow Mastitis (From milk)
COW-137,6.88,39.36,6.9,394591,11.5,285,1,Kaggle Cow Mastitis (From milk)
COW-129,6.69,38.52,5.38,167025,19.6,42,0,Kaggle Cow Mastitis (From milk)
COW-124,6.88,39.96,7.68,820572,9.0,176,1,Kaggle Cow Mastitis (From milk)
COW-136,6.97,39.38,7.93,934958,13.9,89,1,Kaggle Cow Mastitis (From milk)
COW-126,6.65,38.29,5.11,186837,19.0,218,0,Kaggle Cow Mastitis (From milk)
COW-113,7.06,39.98,7.52,1175775,10.5,260,1,Kaggle Cow Mastitis (From milk)
COW-128,6.71,38.8,4.94,144924,17.5,6,0,Kaggle Cow Mastitis (From milk)
COW-121,6.99,39.94,7.16,354480,8.2,226,1,Kaggle Cow Mastitis (From milk)
COW-117,7.28,40.77,7.01,431413,15.1,275,1,Kaggle Cow Mastitis (From milk)
COW-148,6.7,38.37,5.24,86318,27.5,184,0,Kaggle Cow Mastitis (From milk)
COW-123,6.59,38.8,5.03,179644,18.3,101,0,Kaggle Cow Mastitis (From milk)
COW-129,6.66,38.73,5.38,172329,19.6,281,0,Kaggle Cow Mastitis (From milk)
COW-105,7.11,38.99,7.84,906843,10.2,187,1,Kaggle Cow Mastitis (From milk)
COW-127,6.62,38.46,4.97,187885,16.6,28,0,Kaggle Cow Mastitis (From milk)
COW-104,6.46,38.8,4.47,118148,20.6,247,0,Kaggle Cow Mastitis (From milk)
COW-118,6.71,38.27,4.44,192273,20.1,195,0,Kaggle Cow Mastitis (From milk)
COW-141,7.3,40.47,8.18,598466,11.0,226,1,Kaggle Cow Mastitis (From milk)
COW-117,6.68,38.01,4.64,189927,21.6,179,0,Kaggle Cow Mastitis (From milk)
COW-106,7.15,39.47,8.93,244791,12.4,119,1,Kaggle Cow Mastitis (From milk)
COW-118,7.1,39.39,8.35,1299816,11.7,60,1,Kaggle Cow Mastitis (From milk)
COW-137,6.43,38.35,5.5,86395,26.7,231,0,Kaggle Cow Mastitis (From milk)
COW-123,6.64,38.48,5.09,113364,22.0,22,0,Kaggle Cow Mastitis (From milk)
COW-113,6.56,38.35,5.32,79679,25.0,150,0,Kaggle Cow Mastitis (From milk)
COW-136,6.83,38.15,5.68,122143,23.6,289,0,Kaggle Cow Mastitis (From milk)
COW-125,6.5,38.34,6.13,103024,17.7,112,0,Kaggle Cow Mastitis (From milk)
COW-147,7.36,40.32,8.89,1264582,10.8,256,1,Kaggle Cow Mastitis (From milk)
COW-127,6.63,37.91,5.37,57922,23.8,300,0,Kaggle Cow Mastitis (From milk)
COW-122,6.57,38.64,5.58,151095,23.1,213,0,Kaggle Cow Mastitis (From milk)
COW-103,7.2,39.85,9.56,471981,11.3,169,1,Kaggle Cow Mastitis (From milk)
COW-132,7.04,39.18,8.15,1372219,9.0,155,1,Kaggle Cow Mastitis (From milk)
COW-147,6.7,38.15,5.74,131791,21.8,86,0,Kaggle Cow Mastitis (From milk)
COW-145,7.3,39.98,8.35,1244216,9.9,54,1,Kaggle Cow Mastitis (From milk)
COW-146,6.39,38.8,5.22,98206,18.9,134,0,Kaggle Cow Mastitis (From milk)
COW-105,6.76,38.13,4.39,77781,24.3,145,0,Kaggle Cow Mastitis (From milk)
COW-140,7.34,39.31,9.81,1379877,13.7,4,1,Kaggle Cow Mastitis (From milk)
COW-139,6.8,38.59,4.73,172824,17.3,85,0,Kaggle Cow Mastitis (From milk)
COW-112,6.98,39.89,8.15,652681,12.2,170,1,Kaggle Cow Mastitis (From milk)
COW-148,7.3,39.65,8.16,1077882,4.0,223,1,Kaggle Cow Mastitis (From milk)
COW-134,6.6,38.49,5.22,85087,14.0,93,0,Kaggle Cow Mastitis (From milk)
COW-110,7.56,39.71,7.99,279207,10.3,12,1,Kaggle Cow Mastitis (From milk)
COW-108,6.51,38.46,4.92,91707,22.5,95,0,Kaggle Cow Mastitis (From milk)
COW-109,6.83,38.25,4.88,55645,20.3,67,0,Kaggle Cow Mastitis (From milk)
COW-103,6.51,38.47,5.51,132903,19.3,157,0,Kaggle Cow Mastitis (From milk)
COW-138,6.59,38.42,5.45,124509,20.8,267,0,Kaggle Cow Mastitis (From milk)
COW-137,6.7,38.72,5.63,61376,22.1,101,0,Kaggle Cow Mastitis (From milk)
COW-140,7.31,39.21,8.59,855268,15.6,226,1,Kaggle Cow Mastitis (From milk)
COW-131,6.51,38.53,4.0,107860,20.3,211,0,Kaggle Cow Mastitis (From milk)
COW-135,6.57,38.65,4.65,133683,25.6,202,0,Kaggle Cow Mastitis (From milk)
COW-133,6.65,38.56,4.7,52232,14.0,49,0,Kaggle Cow Mastitis (From milk)
COW-126,7.11,39.85,8.52,337504,14.6,55,1,Kaggle Cow Mastitis (From milk)
COW-116,7.28,39.51,7.02,675540,10.1,55,1,Kaggle Cow Mastitis (From milk)
COW-117,7.11,39.08,8.49,1038185,12.1,13,1,Kaggle Cow Mastitis (From milk)
COW-123,7.11,39.65,8.73,1018150,9.3,182,1,Kaggle Cow Mastitis (From milk)
COW-109,6.67,38.8,4.84,100053,23.5,249,0,Kaggle Cow Mastitis (From milk)
COW-105,7.15,40.56,6.7,638661,8.6,219,1,Kaggle Cow Mastitis (From milk)
COW-108,6.66,38.22,5.72,184298,27.0,180,0,Kaggle Cow Mastitis (From milk)
COW-130,6.66,38.12,4.5,137527,18.9,291,0,Kaggle Cow Mastitis (From milk)
COW-108,6.46,38.26,5.25,122588,22.5,53,0,Kaggle Cow Mastitis (From milk)
COW-133,6.65,38.8,4.75,73640,24.1,153,0,Kaggle Cow Mastitis (From milk)
COW-122,7.21,39.87,6.4,732747,16.0,293,1,Kaggle Cow Mastitis (From milk)
COW-136,7.34,39.65,8.7,855100,12.2,236,1,Kaggle Cow Mastitis (From milk)
COW-126,6.85,38.28,5.19,56151,22.5,236,0,Kaggle Cow Mastitis (From milk)
COW-137,6.46,38.32,4.35,103786,16.7,10,0,Kaggle Cow Mastitis (From milk)
COW-123,7.25,39.18,8.17,549230,12.4,159,1,Kaggle Cow Mastitis (From milk)
COW-122,6.71,38.29,5.58,156993,19.6,267,0,Kaggle Cow Mastitis (From milk)
COW-133,6.6,38.38,5.18,193743,22.9,54,0,Kaggle Cow Mastitis (From milk)
COW-125,7.27,40.6,7.27,524567,14.9,164,1,Kaggle Cow Mastitis (From milk)
COW-119,6.32,38.29,5.8,140429,17.5,210,0,Kaggle Cow Mastitis (From milk)
COW-144,6.59,38.38,5.62,86379,21.1,182,0,Kaggle Cow Mastitis (From milk)
COW-120,6.58,38.16,5.75,114913,23.3,184,0,Kaggle Cow Mastitis (From milk)
COW-112,6.73,38.49,5.57,108522,19.5,214,0,Kaggle Cow Mastitis (From milk)
COW-138,7.13,39.46,9.08,505158,13.4,133,1,Kaggle Cow Mastitis (From milk)
COW-145,7.51,39.27,6.59,1373399,15.5,177,1,Kaggle Cow Mastitis (From milk)
COW-121,7.01,40.48,7.7,925413,15.4,190,1,Kaggle Cow Mastitis (From milk)
COW-146,6.45,38.25,5.19,111296,20.3,101,0,Kaggle Cow Mastitis (From milk)
COW-132,6.63,38.18,4.56,94919,18.8,118,0,Kaggle Cow Mastitis (From milk)
COW-124,6.62,38.21,5.09,158379,22.2,154,0,Kaggle Cow Mastitis (From milk)
COW-139,7.13,39.95,8.85,1313751,11.6,7,1,Kaggle Cow Mastitis (From milk)
COW-127,7.63,40.79,6.4,608668,13.8,224,1,Kaggle Cow Mastitis (From milk)
COW-140,6.51,38.62,5.18,136066,22.6,1,0,Kaggle Cow Mastitis (From milk)
COW-136,6.65,38.19,5.16,116651,17.6,240,0,Kaggle Cow Mastitis (From milk)
COW-126,7.15,39.99,7.4,611964,12.4,115,1,Kaggle Cow Mastitis (From milk)
COW-116,6.85,38.56,4.93,140607,18.6,15,0,Kaggle Cow Mastitis (From milk)
COW-130,6.88,38.9,8.56,1183653,6.3,293,1,Kaggle Cow Mastitis (From milk)
COW-125,6.71,38.66,4.26,71981,25.4,220,0,Kaggle Cow Mastitis (From milk)
COW-146,7.18,39.72,7.65,612621,9.3,229,1,Kaggle Cow Mastitis (From milk)
COW-148,7.28,39.32,7.0,399057,12.7,173,1,Kaggle Cow Mastitis (From milk)
COW-101,6.85,38.16,5.28,74262,16.2,38,0,Kaggle Cow Mastitis (From milk)
COW-102,7.32,39.85,7.73,1292415,14.2,120,1,Kaggle Cow Mastitis (From milk)
COW-101,7.28,39.95,6.73,1161638,11.0,237,1,Kaggle Cow Mastitis (From milk)
COW-104,6.63,38.68,5.54,110658,18.3,104,0,Kaggle Cow Mastitis (From milk)
COW-117,6.57,38.1,4.05,76008,19.9,29,0,Kaggle Cow Mastitis (From milk)
COW-104,7.47,39.65,8.08,887191,4.8,195,1,Kaggle Cow Mastitis (From milk)
COW-130,7.18,39.68,7.71,779684,15.1,287,1,Kaggle Cow Mastitis (From milk)
COW-144,6.6,38.33,4.34,167577,23.0,31,0,Kaggle Cow Mastitis (From milk)
COW-144,7.13,39.98,9.43,630701,7.9,216,1,Kaggle Cow Mastitis (From milk)
COW-141,6.7,38.47,4.74,175584,17.6,285,0,Kaggle Cow Mastitis (From milk)
COW-129,6.3,38.21,5.0,119069,14.0,229,0,Kaggle Cow Mastitis (From milk)
COW-103,6.46,38.39,5.48,78310,20.4,89,0,Kaggle Cow Mastitis (From milk)
COW-145,7.12,38.94,7.16,1161410,14.3,295,1,Kaggle Cow Mastitis (From milk)
COW-111,7.03,38.92,7.36,255817,11.2,115,1,Kaggle Cow Mastitis (From milk)
COW-110,6.83,38.46,5.88,189291,19.7,160,0,Kaggle Cow Mastitis (From milk)
COW-109,7.44,40.05,7.71,629412,10.4,295,1,Kaggle Cow Mastitis (From milk)
