Cow_ID,Day,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,class1
COW-139,65,39.77,7.26,6.92,419611,13.0,1,1
COW-112,108,39.69,7.17,8.95,615156,10.2,1,1
COW-145,284,39.73,7.06,6.76,295632,9.1,1,1
COW-128,17,39.9,7.15,9.25,746665,11.6,1,1
COW-107,34,38.8,6.55,5.08,126801,23.3,0,0
COW-109,46,40.32,6.94,6.4,1124170,14.6,1,1
COW-104,236,38.4,6.59,5.1,160023,18.8,0,0
COW-142,85,40.28,7.05,7.91,947614,9.3,1,1
COW-101,239,38.42,6.77,5.31,154158,16.1,0,0
COW-112,7,38.67,6.65,5.28,67183,17.4,0,0
COW-114,122,38.19,6.79,5.03,187957,21.1,0,0
COW-141,90,38.77,6.56,5.27,157575,20.6,0,0
COW-104,17,38.5,6.63,5.3,144033,22.5,0,0
COW-125,278,39.14,7.38,7.43,890557,12.6,0,1
COW-139,139,38.1,6.45,5.32,97168,22.3,0,0
COW-149,156,38.29,6.47,5.89,186987,18.3,0,0
COW-132,165,40.04,7.44,8.14,1117272,8.0,0,1
COW-132,164,39.31,7.02,7.83,1293718,7.3,0,1
COW-121,133,38.26,6.58,5.05,60597,27.7,0,0
COW-111,173,38.01,6.57,5.24,163155,22.9,0,0
COW-114,168,40.18,7.01,7.33,862865,11.6,0,1
COW-135,127,38.66,6.76,5.59,141983,17.5,0,0
COW-124,98,40.63,7.17,7.86,780628,9.1,1,1
COW-111,175,39.91,7.36,6.64,434481,8.8,0,1
COW-102,259,38.43,6.41,5.14,153330,24.1,0,0
COW-124,229,38.01,6.57,5.24,123789,19.6,0,0
COW-141,104,38.43,6.73,4.54,147364,22.7,0,0
COW-122,257,38.22,6.47,4.62,63431,26.0,0,0
COW-109,14,38.54,6.58,5.78,119729,17.3,0,0
COW-149,147,40.29,7.09,8.5,951877,10.4,1,1
COW-103,161,38.54,6.77,5.66,168433,18.2,0,0
COW-119,179,38.46,6.51,5.69,155423,22.7,0,0
COW-149,273,40.15,7.3,7.51,904199,16.5,1,1
COW-149,255,38.12,6.8,5.07,82680,15.7,0,0
COW-128,134,38.23,6.59,4.3,152036,17.6,0,0
COW-102,107,40.28,7.09,7.38,984991,9.9,1,1
COW-108,5,39.9,6.99,8.98,384551,12.9,1,1
COW-124,47,38.27,6.48,5.63,147733,22.0,0,0
COW-114,170,38.48,6.63,4.71,87634,22.2,0,0
COW-120,29,39.7,6.91,8.6,637098,12.5,0,1
COW-140,292,38.36,6.53,4.84,140087,21.3,0,0
COW-137,193,39.52,7.44,7.35,815472,10.5,0,1
COW-146,74,40.67,7.26,7.87,485690,16.3,0,1
COW-135,218,38.4,6.34,4.85,186945,16.5,0,0
COW-110,11,39.33,6.88,7.97,729532,12.0,0,1
COW-113,255,40.23,7.26,7.15,314064,9.6,1,1
COW-149,178,38.66,6.48,5.13,76334,23.5,0,0
COW-135,227,39.62,7.45,6.4,460714,7.4,0,1
COW-126,42,39.48,7.26,8.76,478151,12.6,0,1
COW-128,130,38.58,6.5,4.19,135642,22.6,0,0
COW-119,78,37.98,6.45,5.26,53421,17.6,0,0
COW-109,14,40.54,7.14,8.21,1123073,10.3,1,1
COW-124,61,38.53,6.71,5.06,73591,22.0,0,0
COW-107,287,38.67,6.6,5.27,59788,19.8,0,0
COW-142,72,40.12,7.41,9.03,484772,9.3,1,1
COW-112,201,40.29,7.45,7.57,824886,12.5,1,1
COW-118,293,39.3,7.19,7.8,1131139,12.0,1,1
COW-115,165,38.39,6.43,5.1,50196,21.5,0,0
COW-128,23,40.61,7.02,10.53,1137719,14.5,1,1
COW-149,192,39.13,7.03,9.69,586078,12.2,0,1
COW-104,232,39.14,7.03,8.55,1239952,11.8,1,1
COW-137,223,39.71,7.04,6.64,1351469,13.6,1,1
COW-138,75,39.3,6.92,6.48,973976,14.7,1,1
COW-128,206,40.31,7.38,9.48,291869,12.0,0,1
COW-110,296,38.9,7.18,9.59,716469,13.3,1,1
COW-145,20,39.95,7.29,6.58,685486,14.1,1,1
COW-101,39,38.19,6.59,4.79,171655,19.3,0,0
COW-114,141,39.22,7.15,7.68,410508,15.1,1,1
COW-133,296,38.22,6.47,5.09,190748,15.1,0,0
COW-134,117,38.45,6.6,5.15,145230,17.8,0,0
COW-126,222,38.35,6.55,5.45,154900,28.3,0,0
COW-115,5,38.42,6.52,4.83,192266,19.4,0,0
COW-126,146,38.0,6.7,4.79,175682,20.4,0,0
COW-148,294,38.42,6.45,4.95,136861,20.4,0,0
COW-140,158,38.48,6.59,6.2,77338,24.9,0,0
COW-144,197,39.05,6.88,8.36,460171,9.9,1,1
COW-129,254,38.6,6.49,5.15,112751,20.0,0,0
COW-121,114,39.04,7.15,7.14,1092706,14.9,1,1
COW-101,39,38.2,6.64,5.05,101783,24.0,0,0
COW-103,32,38.24,6.56,5.06,171771,26.5,0,0
COW-149,261,38.3,6.32,5.72,180781,23.6,0,0
COW-137,241,39.77,7.41,7.05,1361023,13.0,1,1
COW-144,262,38.38,6.5,5.45,85075,21.7,0,0
COW-128,249,40.71,7.4,9.01,534818,15.7,0,1
COW-105,29,39.83,6.95,7.53,750934,10.1,1,1
COW-118,270,39.86,7.25,6.85,616263,14.2,1,1
COW-106,178,39.94,7.08,8.32,1360746,15.7,0,1
COW-127,289,39.21,7.21,7.43,787061,14.8,1,1
COW-133,275,38.23,6.55,6.2,94109,26.8,0,0
COW-135,40,39.81,7.24,7.65,476754,9.8,1,1
COW-128,137,39.19,7.49,8.5,592447,9.6,1,1
COW-117,43,38.65,6.51,5.63,167010,16.7,0,0
COW-124,266,39.48,7.44,7.51,730751,11.5,0,1
COW-139,142,39.17,7.55,8.86,808033,14.4,0,1
COW-149,151,40.36,7.06,7.91,486432,14.8,1,1
COW-122,15,39.39,7.16,7.46,593419,10.2,0,1
COW-139,234,39.6,7.13,9.96,722097,8.8,1,1
COW-137,285,39.36,6.88,6.9,394591,11.5,0,1
COW-129,42,38.52,6.69,5.38,167025,19.6,0,0
COW-124,176,39.96,6.88,7.68,820572,9.0,1,1
COW-136,89,39.38,6.97,7.93,934958,13.9,1,1
COW-126,218,38.29,6.65,5.11,186837,19.0,0,0
COW-113,260,39.98,7.06,7.52,1175775,10.5,0,1
COW-128,6,38.8,6.71,4.94,144924,17.5,0,0
COW-121,226,39.94,6.99,7.16,354480,8.2,1,1
COW-117,275,40.77,7.28,7.01,431413,15.1,1,1
COW-148,184,38.37,6.7,5.24,86318,27.5,0,0
COW-123,101,38.8,6.59,5.03,179644,18.3,0,0
COW-129,281,38.73,6.66,5.38,172329,19.6,0,0
COW-105,187,38.99,7.11,7.84,906843,10.2,0,1
COW-127,28,38.46,6.62,4.97,187885,16.6,0,0
COW-104,247,38.8,6.46,4.47,118148,20.6,0,0
COW-118,195,38.27,6.71,4.44,192273,20.1,0,0
COW-141,226,40.47,7.3,8.18,598466,11.0,0,1
COW-117,179,38.01,6.68,4.64,189927,21.6,0,0
COW-106,119,39.47,7.15,8.93,244791,12.4,1,1
COW-118,60,39.39,7.1,8.35,1299816,11.7,0,1
COW-137,231,38.35,6.43,5.5,86395,26.7,0,0
COW-123,22,38.48,6.64,5.09,113364,22.0,0,0
COW-113,150,38.35,6.56,5.32,79679,25.0,0,0
COW-136,289,38.15,6.83,5.68,122143,23.6,0,0
COW-125,112,38.34,6.5,6.13,103024,17.7,0,0
COW-147,256,40.32,7.36,8.89,1264582,10.8,0,1
COW-127,300,37.91,6.63,5.37,57922,23.8,0,0
COW-122,213,38.64,6.57,5.58,151095,23.1,0,0
COW-103,169,39.85,7.2,9.56,471981,11.3,1,1
COW-132,155,39.18,7.04,8.15,1372219,9.0,1,1
COW-147,86,38.15,6.7,5.74,131791,21.8,0,0
COW-145,54,39.98,7.3,8.35,1244216,9.9,0,1
COW-146,134,38.8,6.39,5.22,98206,18.9,0,0
COW-105,145,38.13,6.76,4.39,77781,24.3,0,0
COW-140,4,39.31,7.34,9.81,1379877,13.7,1,1
COW-139,85,38.59,6.8,4.73,172824,17.3,0,0
COW-112,170,39.89,6.98,8.15,652681,12.2,0,1
COW-148,223,39.65,7.3,8.16,1077882,4.0,1,1
COW-134,93,38.49,6.6,5.22,85087,14.0,0,0
COW-110,12,39.71,7.56,7.99,279207,10.3,1,1
COW-108,95,38.46,6.51,4.92,91707,22.5,0,0
COW-109,67,38.25,6.83,4.88,55645,20.3,0,0
COW-103,157,38.47,6.51,5.51,132903,19.3,0,0
COW-138,267,38.42,6.59,5.45,124509,20.8,0,0
COW-137,101,38.72,6.7,5.63,61376,22.1,0,0
COW-140,226,39.21,7.31,8.59,855268,15.6,0,1
COW-131,211,38.53,6.51,4.0,107860,20.3,0,0
COW-135,202,38.65,6.57,4.65,133683,25.6,0,0
COW-133,49,38.56,6.65,4.7,52232,14.0,0,0
COW-126,55,39.85,7.11,8.52,337504,14.6,1,1
COW-116,55,39.51,7.28,7.02,675540,10.1,0,1
COW-117,13,39.08,7.11,8.49,1038185,12.1,0,1
COW-123,182,39.65,7.11,8.73,1018150,9.3,0,1
COW-109,249,38.8,6.67,4.84,100053,23.5,0,0
COW-105,219,40.56,7.15,6.7,638661,8.6,0,1
COW-108,180,38.22,6.66,5.72,184298,27.0,0,0
COW-130,291,38.12,6.66,4.5,137527,18.9,0,0
COW-108,53,38.26,6.46,5.25,122588,22.5,0,0
COW-133,153,38.8,6.65,4.75,73640,24.1,0,0
COW-122,293,39.87,7.21,6.4,732747,16.0,1,1
COW-136,236,39.65,7.34,8.7,855100,12.2,1,1
COW-126,236,38.28,6.85,5.19,56151,22.5,0,0
COW-137,10,38.32,6.46,4.35,103786,16.7,0,0
COW-123,159,39.18,7.25,8.17,549230,12.4,1,1
COW-122,267,38.29,6.71,5.58,156993,19.6,0,0
COW-133,54,38.38,6.6,5.18,193743,22.9,0,0
COW-125,164,40.6,7.27,7.27,524567,14.9,1,1
COW-119,210,38.29,6.32,5.8,140429,17.5,0,0
COW-144,182,38.38,6.59,5.62,86379,21.1,0,0
COW-120,184,38.16,6.58,5.75,114913,23.3,0,0
COW-112,214,38.49,6.73,5.57,108522,19.5,0,0
COW-138,133,39.46,7.13,9.08,505158,13.4,1,1
COW-145,177,39.27,7.51,6.59,1373399,15.5,1,1
COW-121,190,40.48,7.01,7.7,925413,15.4,1,1
COW-146,101,38.25,6.45,5.19,111296,20.3,0,0
COW-132,118,38.18,6.63,4.56,94919,18.8,0,0
COW-124,154,38.21,6.62,5.09,158379,22.2,0,0
COW-139,7,39.95,7.13,8.85,1313751,11.6,1,1
COW-127,224,40.79,7.63,6.4,608668,13.8,1,1
COW-140,1,38.62,6.51,5.18,136066,22.6,0,0
COW-136,240,38.19,6.65,5.16,116651,17.6,0,0
COW-126,115,39.99,7.15,7.4,611964,12.4,0,1
COW-116,15,38.56,6.85,4.93,140607,18.6,0,0
COW-130,293,38.9,6.88,8.56,1183653,6.3,1,1
COW-125,220,38.66,6.71,4.26,71981,25.4,0,0
COW-146,229,39.72,7.18,7.65,612621,9.3,0,1
COW-148,173,39.32,7.28,7.0,399057,12.7,1,1
COW-101,38,38.16,6.85,5.28,74262,16.2,0,0
COW-102,120,39.85,7.32,7.73,1292415,14.2,1,1
COW-101,237,39.95,7.28,6.73,1161638,11.0,1,1
COW-104,104,38.68,6.63,5.54,110658,18.3,0,0
COW-117,29,38.1,6.57,4.05,76008,19.9,0,0
COW-104,195,39.65,7.47,8.08,887191,4.8,0,1
COW-130,287,39.68,7.18,7.71,779684,15.1,1,1
COW-144,31,38.33,6.6,4.34,167577,23.0,0,0
COW-144,216,39.98,7.13,9.43,630701,7.9,1,1
COW-141,285,38.47,6.7,4.74,175584,17.6,0,0
COW-129,229,38.21,6.3,5.0,119069,14.0,0,0
COW-103,89,38.39,6.46,5.48,78310,20.4,0,0
COW-145,295,38.94,7.12,7.16,1161410,14.3,0,1
COW-111,115,38.92,7.03,7.36,255817,11.2,1,1
COW-110,160,38.46,6.83,5.88,189291,19.7,0,0
COW-109,295,40.05,7.44,7.71,629412,10.4,1,1
COW-135,288,38.91,7.12,7.48,238913,13.6,1,1
COW-108,257,38.4,6.71,4.9,122340,24.1,0,0
COW-139,28,38.41,6.64,4.61,155685,21.6,0,0
COW-136,115,38.8,6.65,5.14,94483,14.0,0,0
COW-145,282,38.43,6.55,5.47,125612,23.9,0,0
COW-136,249,39.82,7.13,8.16,1320429,12.3,1,1
COW-124,78,38.07,6.59,5.78,181645,17.3,0,0
COW-120,250,40.4,6.97,7.19,301130,5.7,1,1
COW-112,235,39.38,7.4,8.33,300284,13.4,1,1
COW-128,258,39.34,7.38,7.38,589144,12.8,1,1
COW-109,288,39.51,7.32,6.84,1274099,13.4,1,1
COW-116,98,39.64,7.14,8.29,287722,13.0,1,1
COW-146,134,39.98,6.92,7.54,418264,10.2,1,1
COW-124,205,38.29,6.61,5.6,116409,25.7,0,0
COW-106,147,39.81,7.1,7.72,267594,12.8,0,1
COW-118,30,38.23,6.63,5.11,92123,20.3,0,0
COW-139,166,38.52,6.67,4.52,183035,19.1,0,0
COW-107,198,38.24,6.46,5.35,76990,16.5,0,0
COW-145,37,40.41,7.09,8.21,324522,8.8,1,1
COW-107,247,39.58,7.26,8.35,1339076,14.0,0,1
COW-145,239,39.35,7.09,7.86,899285,9.9,1,1
COW-120,229,38.73,6.85,4.8,98168,20.8,0,0
COW-112,239,38.99,7.38,6.4,712254,9.1,1,1
COW-101,17,40.21,7.27,6.85,773900,11.6,1,1
COW-144,40,38.32,6.62,4.91,171195,23.3,0,0
COW-101,47,39.51,6.88,7.22,908065,4.0,1,1
COW-110,242,39.77,7.43,7.87,779833,9.6,1,1
COW-107,63,38.1,6.63,5.63,121958,24.3,0,0
COW-102,196,39.56,7.3,8.39,544106,14.5,0,1
COW-143,104,39.79,7.24,7.1,372304,9.2,0,1
COW-103,95,38.54,6.75,4.33,83094,22.2,0,0
COW-143,202,38.35,6.68,5.07,93471,19.7,0,0
COW-130,110,38.12,6.54,5.24,100246,22.2,0,0
COW-132,23,37.8,6.39,5.31,187328,21.9,0,0
COW-148,86,38.95,6.88,7.28,1267161,15.7,0,1
COW-145,20,39.62,7.29,7.72,260629,13.5,1,1
COW-145,55,38.65,6.85,5.43,79773,16.3,0,0
COW-105,215,39.05,7.18,6.46,1166171,13.1,1,1
COW-116,92,39.77,7.31,7.23,1258209,7.8,1,1
COW-143,140,39.59,6.88,6.4,941383,13.7,0,1
COW-119,40,39.7,7.46,8.8,377858,8.9,0,1
COW-120,106,37.82,6.64,5.33,112643,18.7,0,0
COW-117,59,39.33,7.14,9.08,1330775,9.4,1,1
COW-111,51,38.58,6.5,5.38,163564,18.0,0,0
COW-120,296,38.26,6.55,5.38,100075,20.0,0,0
COW-102,259,38.35,6.66,5.89,186695,17.8,0,0
COW-132,273,38.28,6.54,5.25,128952,15.7,0,0
COW-112,291,39.39,7.33,7.5,488428,12.8,1,1
COW-108,195,40.69,7.23,7.9,799403,15.9,0,1
COW-113,29,39.06,7.36,9.21,1243888,10.3,1,1
COW-123,239,39.71,6.99,6.67,849322,11.0,0,1
COW-127,137,38.6,6.6,5.09,88937,18.8,0,0
COW-104,241,39.96,7.27,7.77,1243131,12.2,1,1
COW-124,1,38.79,6.75,4.97,146142,15.6,0,0
COW-134,286,38.34,6.55,4.98,185274,19.4,0,0
COW-141,249,38.55,6.38,5.25,191710,23.7,0,0
COW-150,148,39.29,7.24,8.25,1255744,8.0,0,1
COW-135,177,38.44,6.5,5.32,136662,20.2,0,0
COW-144,42,40.14,7.02,8.0,571474,11.3,1,1
COW-137,123,38.58,6.66,5.76,72805,17.9,0,0
COW-133,4,38.29,6.66,4.67,128169,18.9,0,0
COW-146,52,39.51,7.3,6.4,623642,11.5,1,1
COW-140,132,38.55,6.6,4.99,135471,21.5,0,0
COW-149,111,38.8,6.58,5.15,134113,21.2,0,0
COW-136,61,38.8,6.5,5.55,78554,17.5,0,0
COW-150,81,39.32,7.53,8.13,1198888,14.4,1,1
COW-113,25,39.68,7.17,7.19,705114,11.4,1,1
COW-148,97,38.8,6.73,5.06,175083,18.7,0,0
COW-104,184,37.99,6.69,5.27,57247,22.4,0,0
COW-119,11,39.96,7.42,8.09,812296,11.7,0,1
COW-141,62,38.8,6.62,4.01,68541,21.2,0,0
COW-130,111,38.29,6.79,5.57,168484,14.0,0,0
COW-105,270,38.47,6.49,5.14,103546,22.9,0,0
COW-147,34,38.8,6.58,4.66,164926,22.4,0,0
COW-105,222,39.4,7.08,6.4,404507,8.9,1,1
COW-107,154,37.91,6.5,4.85,54230,20.8,0,0
COW-124,274,38.14,6.37,4.36,56512,19.7,0,0
COW-138,259,39.52,7.09,9.22,894015,7.5,0,1
COW-119,216,38.67,6.56,5.71,165519,17.4,0,0
COW-106,291,37.95,6.38,5.66,169988,19.3,0,0
COW-139,23,38.25,6.61,5.58,100474,18.7,0,0
COW-148,285,39.87,7.25,8.66,979811,13.7,0,1
COW-125,39,39.7,7.43,8.78,525375,14.1,1,1
COW-117,39,39.69,7.25,7.83,982761,9.0,0,1
COW-112,9,39.75,7.45,7.88,1316696,13.7,0,1
COW-149,289,38.42,6.5,5.03,75992,16.8,0,0
COW-121,272,39.55,7.26,7.97,559263,11.8,0,1
COW-128,216,38.49,6.51,5.6,112162,17.0,0,0
COW-132,137,38.37,6.75,5.06,88472,21.4,0,0
COW-129,188,39.38,7.25,7.12,1037646,12.4,0,1
COW-123,96,40.05,7.29,8.86,955736,13.2,1,1
COW-115,112,39.79,7.27,8.86,604881,11.4,1,1
COW-107,231,38.57,6.49,4.8,57492,18.4,0,0
COW-133,111,38.39,6.78,4.94,78854,23.6,0,0
COW-150,172,39.13,7.23,7.57,624772,14.8,1,1
COW-127,68,38.78,6.54,4.59,82024,17.7,0,0
COW-107,199,39.97,7.2,7.17,900257,11.8,1,1
COW-124,45,39.27,7.31,6.96,593947,11.4,1,1
COW-123,45,39.62,7.05,7.51,1050757,13.2,1,1
COW-132,137,40.25,7.23,8.26,1355229,11.0,1,1
COW-131,84,38.8,6.58,5.44,178034,19.4,0,0
COW-150,179,38.38,6.5,5.15,113461,22.2,0,0
COW-111,200,39.57,7.46,8.21,378631,11.0,0,1
COW-135,148,38.46,6.43,5.65,163645,26.0,0,0
COW-118,38,38.65,6.61,5.0,149389,20.2,0,0
COW-116,53,39.27,7.8,7.58,1297611,8.8,1,1
COW-114,51,38.54,6.58,5.19,152620,20.5,0,0
COW-105,75,38.4,6.64,5.08,63350,17.3,0,0
COW-133,148,38.11,6.64,5.42,135200,23.3,0,0
COW-102,111,39.83,7.12,8.96,1360713,10.5,0,1
COW-139,225,38.17,6.74,4.81,156494,24.2,0,0
COW-137,118,38.31,6.63,5.1,82788,21.9,0,0
COW-103,288,39.73,7.41,8.1,316108,14.0,1,1
COW-136,61,39.39,7.19,7.78,507914,11.2,1,1
COW-117,253,38.19,6.69,4.69,101769,14.0,0,0
COW-114,235,38.11,6.66,4.79,89832,18.4,0,0
COW-149,293,40.46,7.26,6.68,402335,11.8,1,1
COW-144,2,40.14,7.3,8.89,373817,14.3,1,1
COW-109,48,38.47,6.61,5.14,146657,29.0,0,0
COW-139,98,39.34,7.35,9.3,665098,12.1,1,1
COW-141,216,38.9,7.14,7.89,630430,7.8,1,1
COW-149,117,40.37,7.3,8.26,945782,9.1,0,1
COW-108,31,40.35,7.31,9.24,816992,10.4,0,1
COW-130,36,38.51,6.57,4.87,150575,25.4,0,0
COW-135,299,38.33,6.51,4.91,156241,21.9,0,0
COW-122,263,40.07,7.11,8.55,1112612,14.4,0,1
COW-123,181,39.6,7.36,8.13,228677,13.9,0,1
COW-105,12,40.06,7.35,7.78,891780,13.3,0,1
COW-142,111,37.91,6.61,5.34,90959,20.7,0,0
COW-123,239,38.3,6.72,5.51,194022,23.5,0,0
COW-105,293,40.27,7.26,6.55,861669,8.7,1,1
COW-149,226,40.4,6.88,8.9,900323,16.5,1,1
COW-101,134,38.11,6.44,5.26,90959,18.8,0,0
COW-140,217,39.5,7.05,7.38,579786,14.8,0,1
COW-102,138,38.36,6.55,5.29,141484,16.1,0,0
COW-129,165,39.05,7.14,7.15,937689,8.1,0,1
COW-101,26,40.08,7.56,6.4,1125962,13.8,1,1
COW-137,34,40.13,7.4,6.4,1112307,12.6,1,1
COW-114,133,38.63,6.57,5.24,64699,23.4,0,0
COW-135,128,38.23,6.85,5.29,88773,14.2,0,0
COW-136,160,39.2,7.16,6.9,1232821,11.7,1,1
COW-114,212,38.53,6.54,5.58,64762,15.9,0,0
COW-135,177,38.32,6.71,5.0,79382,26.9,0,0
COW-126,13,38.24,6.68,4.79,183145,18.3,0,0
COW-143,131,38.08,6.54,5.85,85093,16.4,0,0
COW-140,104,38.69,6.53,5.08,53653,20.6,0,0
COW-133,171,38.1,6.5,5.27,158886,21.4,0,0
COW-144,250,38.45,6.63,5.58,118702,16.2,0,0
COW-145,152,38.06,6.56,5.93,60006,17.9,0,0
COW-109,148,39.73,7.33,8.45,815313,14.0,0,1
COW-118,200,38.49,6.62,5.52,58205,21.2,0,0
COW-102,175,38.44,6.43,5.47,182610,19.6,0,0
COW-137,77,39.57,7.55,7.19,1047847,11.7,1,1
COW-136,260,38.06,6.55,4.0,107711,18.5,0,0
COW-125,8,39.88,7.37,8.32,664844,16.5,0,1
COW-124,247,40.04,7.02,8.23,931791,12.6,1,1
COW-148,283,38.46,6.46,5.22,108656,19.8,0,0
COW-149,251,38.57,6.58,5.43,52191,19.2,0,0
COW-112,236,38.11,6.67,4.43,128950,19.8,0,0
COW-130,98,39.47,7.25,7.25,902679,8.4,1,1
COW-128,112,38.59,6.45,4.64,173979,20.5,0,0
COW-137,294,38.18,6.53,4.87,106284,27.5,0,0
COW-128,243,37.88,6.64,5.38,109365,25.6,0,0
COW-106,89,38.37,6.39,5.54,174945,22.6,0,0
COW-149,130,38.11,6.78,5.33,129585,20.7,0,0
COW-107,9,40.52,7.17,8.71,329090,6.2,0,1
